participant,group,block,sep,fixated,correct
10,no instruction,1,266,1,0
10,no instruction,1,337,3,1
10,no instruction,1,408,3,NA
10,no instruction,1,640,1,0
10,no instruction,1,372,2,1
10,no instruction,1,640,1,0
10,no instruction,1,195,3,1
10,no instruction,1,408,1,0
10,no instruction,1,337,2,1
10,no instruction,1,301,1,1
10,no instruction,1,408,3,NA
10,no instruction,1,195,1,1
10,no instruction,1,337,1,1
10,no instruction,1,301,1,1
10,no instruction,1,284,2,0
10,no instruction,1,195,1,1
10,no instruction,1,372,1,0
10,no instruction,1,372,1,0
10,no instruction,1,640,1,1
10,no instruction,1,337,3,NA
10,no instruction,1,266,3,1
10,no instruction,1,337,1,0
10,no instruction,1,266,2,1
10,no instruction,1,266,1,1
10,no instruction,1,408,1,0
10,no instruction,1,301,3,1
10,no instruction,1,230,1,1
10,no instruction,1,337,3,1
10,no instruction,1,301,2,1
10,no instruction,1,372,1,1
10,no instruction,1,195,2,0
10,no instruction,1,372,1,1
10,no instruction,1,284,3,1
10,no instruction,1,372,1,1
10,no instruction,1,284,1,1
10,no instruction,1,284,1,1
10,no instruction,1,195,3,1
10,no instruction,1,195,1,1
10,no instruction,1,372,1,1
10,no instruction,1,230,2,0
10,no instruction,1,230,3,0
10,no instruction,1,301,1,0
10,no instruction,1,195,2,1
10,no instruction,1,284,1,0
10,no instruction,1,266,1,0
10,no instruction,1,372,1,0
10,no instruction,1,284,3,1
10,no instruction,1,230,2,1
10,no instruction,1,195,1,1
10,no instruction,1,408,1,0
10,no instruction,1,284,1,1
10,no instruction,1,640,1,1
10,no instruction,1,640,1,1
10,no instruction,1,408,1,NA
10,no instruction,1,640,2,0
10,no instruction,1,230,1,1
10,no instruction,1,408,1,1
10,no instruction,1,230,3,0
10,no instruction,1,301,1,1
10,no instruction,1,640,1,1
10,no instruction,1,301,1,1
10,no instruction,1,640,1,1
10,no instruction,1,337,1,NA
10,no instruction,1,301,1,0
10,no instruction,1,195,2,0
10,no instruction,1,284,1,1
10,no instruction,1,230,1,NA
10,no instruction,1,284,1,1
10,no instruction,1,195,3,0
10,no instruction,1,230,1,1
10,no instruction,1,266,1,NA
10,no instruction,1,266,1,1
10,no instruction,1,266,3,0
10,no instruction,1,337,1,1
10,no instruction,1,640,1,0
10,no instruction,1,408,2,1
10,no instruction,1,640,1,1
10,no instruction,1,408,2,0
10,no instruction,1,266,1,NA
10,no instruction,1,337,1,1
10,no instruction,1,640,1,0
10,no instruction,1,337,3,0
10,no instruction,1,284,1,0
10,no instruction,1,640,1,1
10,no instruction,1,640,1,0
10,no instruction,1,372,3,1
10,no instruction,1,195,1,NA
10,no instruction,1,408,1,0
10,no instruction,1,230,1,1
10,no instruction,1,301,2,NA
10,no instruction,1,640,1,0
10,no instruction,1,284,3,1
10,no instruction,1,230,1,1
10,no instruction,1,301,1,1
10,no instruction,1,230,1,1
10,no instruction,1,266,1,1
10,no instruction,1,195,1,1
10,no instruction,1,195,1,1
10,no instruction,1,266,1,1
10,no instruction,1,230,1,1
10,no instruction,1,266,1,NA
10,no instruction,1,408,1,0
10,no instruction,1,337,1,0
10,no instruction,1,195,1,1
10,no instruction,1,195,1,1
10,no instruction,1,284,1,0
10,no instruction,1,301,1,0
10,no instruction,1,640,1,NA
10,no instruction,1,337,1,1
10,no instruction,1,301,1,1
10,no instruction,1,266,1,1
10,no instruction,1,284,1,1
10,no instruction,1,195,1,1
10,no instruction,1,301,1,1
10,no instruction,1,266,1,1
10,no instruction,1,301,1,1
10,no instruction,1,408,1,0
10,no instruction,1,372,1,NA
10,no instruction,1,230,1,1
10,no instruction,1,337,1,1
10,no instruction,1,408,1,1
10,no instruction,1,640,1,0
10,no instruction,1,372,1,0
10,no instruction,1,230,1,NA
10,no instruction,1,195,1,1
10,no instruction,1,640,1,NA
10,no instruction,1,301,1,NA
10,no instruction,1,284,1,NA
10,no instruction,1,284,1,0
10,no instruction,1,408,1,1
10,no instruction,1,408,1,1
10,no instruction,1,284,1,NA
10,no instruction,1,284,1,NA
10,no instruction,1,301,1,1
10,no instruction,1,266,1,1
10,no instruction,1,284,1,0
10,no instruction,1,372,1,1
10,no instruction,1,640,1,1
10,no instruction,1,372,1,0
10,no instruction,1,372,1,1
10,no instruction,1,301,1,NA
10,no instruction,1,372,1,0
10,no instruction,1,372,1,1
10,no instruction,1,337,1,1
10,no instruction,1,408,1,0
10,no instruction,1,195,1,1
10,no instruction,1,640,1,0
10,no instruction,1,337,1,0
10,no instruction,1,230,1,1
10,no instruction,1,266,1,1
10,no instruction,1,301,1,1
10,no instruction,1,230,1,1
10,no instruction,1,408,1,1
10,no instruction,1,408,1,0
10,no instruction,1,337,1,1
10,no instruction,1,372,1,NA
10,no instruction,1,337,1,NA
10,no instruction,1,408,1,0
10,no instruction,1,266,1,NA
10,no instruction,1,230,1,1
10,no instruction,1,195,1,NA
10,no instruction,1,372,1,0
10,no instruction,1,284,1,1
10,no instruction,1,230,1,1
10,no instruction,1,195,1,1
10,no instruction,1,337,1,0
10,no instruction,1,266,1,1
10,no instruction,1,640,1,0
10,no instruction,1,640,1,1
10,no instruction,1,301,1,1
10,no instruction,1,408,1,1
10,no instruction,1,408,1,0
10,no instruction,1,195,1,1
10,no instruction,1,408,1,0
10,no instruction,1,230,2,1
10,no instruction,1,301,1,NA
10,no instruction,1,230,1,1
10,no instruction,1,195,1,1
10,no instruction,1,284,1,1
10,no instruction,1,230,1,1
10,no instruction,1,301,1,1
10,no instruction,1,284,1,0
10,no instruction,1,195,1,1
10,no instruction,1,408,1,0
10,no instruction,1,195,1,1
10,no instruction,1,195,1,1
10,no instruction,1,337,1,1
10,no instruction,1,640,1,0
10,no instruction,1,266,1,1
10,no instruction,1,640,1,1
10,no instruction,1,195,1,1
10,no instruction,1,195,1,1
10,no instruction,1,230,1,NA
10,no instruction,1,266,1,1
10,no instruction,1,301,1,NA
10,no instruction,1,301,1,1
10,no instruction,1,284,1,1
10,no instruction,1,284,1,1
10,no instruction,1,266,1,1
10,no instruction,1,408,1,0
10,no instruction,1,337,1,1
10,no instruction,1,372,1,1
10,no instruction,1,372,1,1
10,no instruction,1,408,1,NA
10,no instruction,1,195,1,1
10,no instruction,1,230,1,1
10,no instruction,1,230,1,NA
10,no instruction,1,337,1,1
10,no instruction,1,337,1,1
10,no instruction,1,284,1,1
10,no instruction,1,266,1,1
10,no instruction,1,284,1,1
10,no instruction,1,301,1,1
10,no instruction,1,408,1,NA
10,no instruction,1,195,1,1
10,no instruction,1,230,3,0
10,no instruction,1,266,1,1
10,no instruction,1,230,1,NA
10,no instruction,1,640,1,NA
10,no instruction,1,337,1,1
10,no instruction,1,372,1,NA
10,no instruction,1,301,1,1
10,no instruction,1,284,1,1
10,no instruction,1,266,1,1
10,no instruction,1,640,1,0
10,no instruction,1,408,1,0
10,no instruction,1,337,1,NA
10,no instruction,1,372,1,1
10,no instruction,1,230,1,1
10,no instruction,1,640,1,0
10,no instruction,1,640,1,1
10,no instruction,1,195,1,NA
10,no instruction,1,372,1,1
10,no instruction,1,230,1,1
10,no instruction,1,301,1,1
10,no instruction,1,372,1,NA
10,no instruction,1,372,1,0
10,no instruction,1,266,1,1
10,no instruction,1,640,1,1
10,no instruction,1,284,1,NA
10,no instruction,1,266,2,NA
10,no instruction,1,337,1,1
10,no instruction,1,640,1,0
10,no instruction,1,266,1,1
10,no instruction,1,372,1,1
10,no instruction,1,301,2,0
10,no instruction,1,337,1,0
10,no instruction,1,284,1,1
10,no instruction,1,372,3,1
10,no instruction,1,301,1,0
10,no instruction,1,372,1,1
10,no instruction,1,408,1,0
10,no instruction,1,640,1,1
10,no instruction,1,266,1,1
10,no instruction,1,284,1,NA
10,no instruction,1,408,1,0
10,no instruction,1,337,1,0
10,no instruction,1,337,1,1
10,no instruction,2,408,1,1
10,no instruction,2,408,1,0
10,no instruction,2,266,1,1
10,no instruction,2,408,1,0
10,no instruction,2,301,2,0
10,no instruction,2,266,3,1
10,no instruction,2,230,1,1
10,no instruction,2,301,1,1
10,no instruction,2,372,1,0
10,no instruction,2,195,3,1
10,no instruction,2,230,1,1
10,no instruction,2,640,3,NA
10,no instruction,2,337,1,1
10,no instruction,2,372,1,1
10,no instruction,2,337,1,0
10,no instruction,2,640,1,0
10,no instruction,2,301,1,1
10,no instruction,2,230,1,0
10,no instruction,2,195,1,1
10,no instruction,2,372,1,NA
10,no instruction,2,372,1,1
10,no instruction,2,301,2,1
10,no instruction,2,337,3,1
10,no instruction,2,640,1,1
10,no instruction,2,195,1,1
10,no instruction,2,408,3,1
10,no instruction,2,640,1,1
10,no instruction,2,266,1,1
10,no instruction,2,301,1,1
10,no instruction,2,266,1,1
10,no instruction,2,284,2,1
10,no instruction,2,195,3,NA
10,no instruction,2,301,1,1
10,no instruction,2,230,1,1
10,no instruction,2,372,1,NA
10,no instruction,2,337,1,1
10,no instruction,2,230,1,1
10,no instruction,2,640,2,0
10,no instruction,2,301,1,1
10,no instruction,2,640,1,1
10,no instruction,2,301,1,1
10,no instruction,2,266,1,1
10,no instruction,2,266,1,1
10,no instruction,2,284,1,1
10,no instruction,2,230,3,0
10,no instruction,2,284,1,NA
10,no instruction,2,301,1,1
10,no instruction,2,640,3,NA
10,no instruction,2,195,2,0
10,no instruction,2,408,1,0
10,no instruction,2,337,1,0
10,no instruction,2,372,2,1
10,no instruction,2,195,3,NA
10,no instruction,2,408,3,NA
10,no instruction,2,230,1,1
10,no instruction,2,284,1,1
10,no instruction,2,337,1,0
10,no instruction,2,372,2,NA
10,no instruction,2,284,1,NA
10,no instruction,2,372,1,0
10,no instruction,2,266,1,1
10,no instruction,2,408,1,1
10,no instruction,2,372,2,1
10,no instruction,2,640,1,NA
10,no instruction,2,195,1,1
10,no instruction,2,372,1,1
10,no instruction,2,195,1,1
10,no instruction,2,284,3,NA
10,no instruction,2,408,1,1
10,no instruction,2,337,3,1
10,no instruction,2,230,3,NA
10,no instruction,2,284,1,1
10,no instruction,2,640,2,0
10,no instruction,2,337,1,NA
10,no instruction,2,284,1,1
10,no instruction,2,195,1,1
10,no instruction,2,408,2,NA
10,no instruction,2,284,3,NA
10,no instruction,2,266,1,1
10,no instruction,2,266,1,1
10,no instruction,2,266,1,1
10,no instruction,2,301,1,1
10,no instruction,2,337,3,NA
10,no instruction,2,230,1,1
10,no instruction,2,408,3,NA
10,no instruction,2,337,2,NA
10,no instruction,2,640,1,1
10,no instruction,2,284,2,1
10,no instruction,2,195,1,1
10,no instruction,2,230,2,1
10,no instruction,2,195,1,1
10,no instruction,2,195,3,NA
10,no instruction,2,640,1,0
10,no instruction,2,301,1,1
10,no instruction,2,230,1,1
10,no instruction,2,408,3,0
10,no instruction,2,230,1,1
10,no instruction,2,230,1,1
10,no instruction,2,408,2,1
10,no instruction,2,640,3,1
10,no instruction,2,230,1,1
10,no instruction,2,301,1,1
10,no instruction,2,301,1,1
10,no instruction,2,372,3,NA
10,no instruction,2,640,3,1
10,no instruction,2,284,1,1
10,no instruction,2,284,1,1
10,no instruction,2,372,2,NA
10,no instruction,2,266,1,1
10,no instruction,2,640,3,0
10,no instruction,2,195,1,1
10,no instruction,2,284,1,1
10,no instruction,2,408,3,1
10,no instruction,2,266,1,1
10,no instruction,2,266,1,1
10,no instruction,2,266,1,1
10,no instruction,2,284,3,NA
10,no instruction,2,266,1,1
10,no instruction,2,230,3,0
10,no instruction,2,266,1,1
10,no instruction,2,195,1,1
10,no instruction,2,337,2,NA
10,no instruction,2,640,3,NA
10,no instruction,2,301,1,1
10,no instruction,2,195,1,1
10,no instruction,2,284,1,0
10,no instruction,2,337,3,NA
10,no instruction,2,195,1,1
10,no instruction,2,195,1,1
10,no instruction,2,337,1,0
10,no instruction,2,230,1,1
10,no instruction,2,301,1,1
10,no instruction,2,230,1,1
10,no instruction,2,640,2,NA
10,no instruction,2,337,1,1
10,no instruction,2,266,2,NA
10,no instruction,2,408,1,1
10,no instruction,2,337,3,1
10,no instruction,2,301,1,1
10,no instruction,2,301,1,1
10,no instruction,2,284,1,1
10,no instruction,2,408,3,1
10,no instruction,2,284,1,1
10,no instruction,2,408,1,0
10,no instruction,2,195,1,1
10,no instruction,2,284,1,1
10,no instruction,2,640,3,NA
10,no instruction,2,372,3,NA
10,no instruction,2,408,3,NA
10,no instruction,2,337,3,NA
10,no instruction,2,372,1,1
10,no instruction,2,372,3,NA
10,no instruction,2,284,1,1
10,no instruction,2,301,1,1
10,no instruction,2,337,1,0
10,no instruction,2,408,2,1
10,no instruction,2,284,1,NA
10,no instruction,2,301,1,1
10,no instruction,2,230,1,1
10,no instruction,2,337,1,1
10,no instruction,2,408,3,0
10,no instruction,2,372,1,1
10,no instruction,2,301,1,NA
10,no instruction,2,640,1,1
10,no instruction,2,640,2,1
10,no instruction,2,372,3,1
10,no instruction,2,266,1,1
10,no instruction,2,230,1,1
10,no instruction,2,266,1,1
10,no instruction,2,337,3,1
10,no instruction,2,195,1,1
10,no instruction,2,372,1,1
10,no instruction,2,640,1,1
10,no instruction,2,372,1,0
10,no instruction,2,372,3,NA
10,no instruction,2,266,2,0
10,no instruction,2,337,1,NA
10,no instruction,2,408,1,1
10,no instruction,2,195,1,NA
10,no instruction,2,230,1,1
10,no instruction,2,408,1,0
10,no instruction,2,408,1,0
10,no instruction,2,337,1,NA
10,no instruction,2,195,1,1
10,no instruction,2,230,1,1
10,no instruction,2,301,1,1
10,no instruction,2,408,1,1
10,no instruction,2,195,1,1
10,no instruction,2,372,1,0
10,no instruction,2,372,1,0
10,no instruction,2,337,1,1
10,no instruction,2,230,1,1
10,no instruction,2,266,1,NA
10,no instruction,2,230,1,1
10,no instruction,2,230,1,1
10,no instruction,2,337,1,0
10,no instruction,2,284,1,NA
10,no instruction,2,301,1,1
10,no instruction,2,284,1,0
10,no instruction,2,284,1,1
10,no instruction,2,266,1,1
10,no instruction,2,195,1,1
10,no instruction,2,301,1,1
10,no instruction,2,284,1,NA
10,no instruction,2,408,1,1
10,no instruction,2,372,1,1
10,no instruction,2,230,2,NA
10,no instruction,2,301,1,1
10,no instruction,2,284,1,1
10,no instruction,2,640,1,1
10,no instruction,2,337,1,1
10,no instruction,2,408,1,1
10,no instruction,2,195,1,1
10,no instruction,2,195,1,1
10,no instruction,2,372,1,1
10,no instruction,2,301,1,1
10,no instruction,2,230,1,1
10,no instruction,2,195,1,1
10,no instruction,2,640,1,1
10,no instruction,2,266,1,1
10,no instruction,2,372,1,0
10,no instruction,2,301,1,0
10,no instruction,2,266,1,1
10,no instruction,2,230,1,1
10,no instruction,2,301,1,1
10,no instruction,2,284,2,NA
10,no instruction,2,408,1,1
10,no instruction,2,640,1,0
10,no instruction,2,372,1,1
10,no instruction,2,408,1,1
10,no instruction,2,195,1,1
10,no instruction,2,195,1,NA
10,no instruction,2,337,1,0
10,no instruction,2,408,1,NA
10,no instruction,2,266,1,1
10,no instruction,2,301,1,1
10,no instruction,2,640,2,1
10,no instruction,2,337,1,1
10,no instruction,2,372,3,1
10,no instruction,2,301,1,1
10,no instruction,2,337,1,1
10,no instruction,2,301,1,1
10,no instruction,2,266,1,1
10,no instruction,2,284,1,1
10,no instruction,2,640,1,NA
10,no instruction,2,337,1,1
10,no instruction,2,230,1,1
10,no instruction,2,640,1,NA
10,no instruction,2,337,1,0
10,no instruction,2,640,1,0
10,no instruction,2,372,1,1
10,no instruction,2,640,2,1
10,no instruction,2,284,1,1
10,no instruction,2,337,1,1
10,no instruction,2,230,3,NA
10,no instruction,2,284,1,1
10,no instruction,2,266,1,1
10,no instruction,2,372,1,1
10,no instruction,2,266,1,1
10,no instruction,2,640,1,0
10,no instruction,2,408,1,1
10,no instruction,2,640,1,1
10,no instruction,2,195,1,1
10,no instruction,2,372,1,1
10,no instruction,2,230,1,1
10,no instruction,2,266,1,1
10,no instruction,2,284,1,1
10,no instruction,2,408,1,0
10,no instruction,2,195,1,1
10,no instruction,2,266,1,NA
10,no instruction,2,408,1,0
10,no instruction,2,337,3,0
10,no instruction,2,230,1,1
10,no instruction,2,266,1,1
10,no instruction,2,372,1,0
10,no instruction,2,337,1,NA
10,no instruction,2,337,1,1
10,no instruction,2,408,1,1
10,no instruction,2,337,1,NA
10,no instruction,2,640,1,0
10,no instruction,2,408,1,1
10,no instruction,2,266,1,1
10,no instruction,2,301,2,NA
10,no instruction,2,337,1,0
10,no instruction,2,230,1,1
10,no instruction,2,230,1,1
10,no instruction,2,408,1,1
10,no instruction,2,195,1,1
10,no instruction,2,301,3,NA
10,no instruction,2,284,1,1
10,no instruction,2,337,1,0
10,no instruction,2,337,1,1
10,no instruction,2,640,1,0
10,no instruction,2,301,1,1
10,no instruction,2,195,1,1
10,no instruction,2,337,1,0
10,no instruction,2,640,1,1
10,no instruction,2,230,1,1
10,no instruction,2,230,1,1
10,no instruction,2,301,1,1
10,no instruction,2,266,1,1
10,no instruction,2,266,1,1
10,no instruction,2,408,1,1
10,no instruction,2,230,3,1
10,no instruction,2,195,1,1
10,no instruction,2,266,1,1
10,no instruction,2,640,1,0
10,no instruction,2,195,1,1
10,no instruction,2,284,1,1
10,no instruction,2,284,1,1
10,no instruction,2,337,1,0
10,no instruction,2,301,1,0
10,no instruction,2,372,1,0
10,no instruction,2,301,1,NA
10,no instruction,2,640,1,1
10,no instruction,2,266,1,1
10,no instruction,2,284,1,1
10,no instruction,2,266,1,0
10,no instruction,2,372,1,1
10,no instruction,2,640,1,1
10,no instruction,2,372,1,0
10,no instruction,2,266,1,1
10,no instruction,2,640,1,1
10,no instruction,2,284,2,1
10,no instruction,2,301,1,1
10,no instruction,2,195,1,1
10,no instruction,2,195,1,1
10,no instruction,2,640,1,1
10,no instruction,2,337,1,1
10,no instruction,2,408,1,1
10,no instruction,2,301,1,1
10,no instruction,2,372,1,1
10,no instruction,2,640,1,1
10,no instruction,2,372,1,0
10,no instruction,2,230,1,1
10,no instruction,2,195,1,1
10,no instruction,2,640,1,0
10,no instruction,2,284,1,1
10,no instruction,2,372,1,1
10,no instruction,2,408,2,NA
10,no instruction,2,372,2,NA
10,no instruction,2,284,1,1
10,no instruction,2,284,1,1
10,no instruction,2,372,1,0
10,no instruction,2,230,1,1
10,no instruction,2,372,1,0
10,no instruction,2,408,1,0
10,no instruction,2,230,1,1
10,no instruction,2,408,1,1
10,no instruction,2,195,1,1
10,no instruction,2,230,1,1
10,no instruction,2,301,1,1
10,no instruction,2,284,1,1
10,no instruction,2,195,1,1
10,no instruction,2,266,1,1
10,no instruction,2,195,1,1
10,no instruction,2,408,1,1
10,no instruction,2,266,1,1
10,no instruction,2,301,1,1
10,no instruction,2,284,1,1
11,instruction,1,640,2,1
11,instruction,1,139,1,1
11,instruction,1,281,3,1
11,instruction,1,139,1,1
11,instruction,1,68,1,NA
11,instruction,1,139,1,NA
11,instruction,1,246,2,1
11,instruction,1,246,2,0
11,instruction,1,68,1,NA
11,instruction,1,103,1,NA
11,instruction,1,640,2,1
11,instruction,1,284,2,1
11,instruction,1,210,3,0
11,instruction,1,640,3,NA
11,instruction,1,281,3,1
11,instruction,1,284,2,1
11,instruction,1,68,1,NA
11,instruction,1,174,1,1
11,instruction,1,640,2,0
11,instruction,1,640,3,NA
11,instruction,1,246,3,1
11,instruction,1,640,3,NA
11,instruction,1,210,2,1
11,instruction,1,210,3,1
11,instruction,1,246,2,0
11,instruction,1,103,1,1
11,instruction,1,210,3,1
11,instruction,1,281,2,1
11,instruction,1,68,1,NA
11,instruction,1,246,2,1
11,instruction,1,174,1,1
11,instruction,1,174,1,1
11,instruction,1,210,2,1
11,instruction,1,103,1,1
11,instruction,1,284,2,1
11,instruction,1,640,2,1
11,instruction,1,174,1,1
11,instruction,1,68,1,NA
11,instruction,1,103,1,1
11,instruction,1,210,3,1
11,instruction,1,139,1,1
11,instruction,1,210,3,0
11,instruction,1,174,1,1
11,instruction,1,281,3,1
11,instruction,1,68,1,1
11,instruction,1,139,1,1
11,instruction,1,139,1,1
11,instruction,1,281,3,1
11,instruction,1,210,2,NA
11,instruction,1,139,1,1
11,instruction,1,246,3,1
11,instruction,1,281,3,0
11,instruction,1,174,1,1
11,instruction,1,284,2,1
11,instruction,1,139,1,1
11,instruction,1,103,1,1
11,instruction,1,174,1,1
11,instruction,1,210,2,1
11,instruction,1,640,2,1
11,instruction,1,174,1,1
11,instruction,1,103,1,1
11,instruction,1,640,3,NA
11,instruction,1,281,3,1
11,instruction,1,284,2,0
11,instruction,1,640,2,NA
11,instruction,1,174,1,1
11,instruction,1,68,1,1
11,instruction,1,139,1,1
11,instruction,1,284,2,1
11,instruction,1,281,2,1
11,instruction,1,246,3,NA
11,instruction,1,284,2,NA
11,instruction,1,139,1,0
11,instruction,1,174,1,1
11,instruction,1,68,1,NA
11,instruction,1,284,3,1
11,instruction,1,68,1,NA
11,instruction,1,246,2,1
11,instruction,1,103,1,1
11,instruction,1,103,1,1
11,instruction,1,246,2,1
11,instruction,1,68,1,1
11,instruction,1,284,3,1
11,instruction,1,103,1,1
11,instruction,1,246,2,1
11,instruction,1,284,2,0
11,instruction,1,210,3,1
11,instruction,1,103,1,NA
11,instruction,1,281,2,1
11,instruction,1,281,3,1
11,instruction,1,210,2,NA
11,instruction,1,68,1,NA
11,instruction,1,174,1,1
11,instruction,1,281,3,1
11,instruction,1,103,1,1
11,instruction,1,210,2,NA
11,instruction,1,640,3,NA
11,instruction,1,68,1,NA
11,instruction,1,246,2,1
11,instruction,1,246,2,0
11,instruction,1,640,2,1
11,instruction,1,281,3,0
11,instruction,1,174,1,1
11,instruction,1,210,3,0
11,instruction,1,210,3,1
11,instruction,1,174,1,1
11,instruction,1,281,3,1
11,instruction,1,246,3,0
11,instruction,1,139,1,1
11,instruction,1,68,1,0
11,instruction,1,174,1,1
11,instruction,1,284,2,0
11,instruction,1,139,1,1
11,instruction,1,284,3,0
11,instruction,1,103,1,NA
11,instruction,1,68,1,NA
11,instruction,1,246,2,1
11,instruction,1,640,2,0
11,instruction,1,284,3,1
11,instruction,1,281,2,1
11,instruction,1,246,2,1
11,instruction,1,139,1,1
11,instruction,1,640,3,NA
11,instruction,1,281,3,0
11,instruction,1,210,2,1
11,instruction,1,139,1,1
11,instruction,1,281,2,0
11,instruction,1,103,1,NA
11,instruction,1,139,1,1
11,instruction,1,103,1,NA
11,instruction,1,640,3,NA
11,instruction,1,103,1,NA
11,instruction,1,68,1,1
11,instruction,1,139,1,1
11,instruction,1,210,3,1
11,instruction,1,103,1,1
11,instruction,1,640,2,1
11,instruction,1,174,1,1
11,instruction,1,68,1,1
11,instruction,1,174,1,1
11,instruction,1,640,2,1
11,instruction,1,103,1,1
11,instruction,1,640,3,NA
11,instruction,1,284,2,1
11,instruction,1,281,3,1
11,instruction,1,640,3,1
11,instruction,1,103,1,NA
11,instruction,1,68,1,NA
11,instruction,1,174,1,1
11,instruction,1,284,2,1
11,instruction,1,640,2,1
11,instruction,1,246,2,0
11,instruction,1,281,2,1
11,instruction,1,139,1,1
11,instruction,1,284,3,1
11,instruction,1,68,1,1
11,instruction,1,210,2,1
11,instruction,1,174,1,1
11,instruction,1,284,2,1
11,instruction,1,210,3,1
11,instruction,1,210,3,1
11,instruction,1,281,3,1
11,instruction,1,103,1,NA
11,instruction,1,246,2,1
11,instruction,1,68,1,NA
11,instruction,1,139,1,1
11,instruction,1,284,2,1
11,instruction,1,284,2,1
11,instruction,1,210,3,0
11,instruction,1,139,1,1
11,instruction,1,174,1,NA
11,instruction,1,246,2,1
11,instruction,1,246,2,1
11,instruction,1,103,1,1
11,instruction,1,174,1,0
11,instruction,1,139,1,1
11,instruction,1,246,2,NA
11,instruction,1,68,1,1
11,instruction,1,284,2,1
11,instruction,1,281,3,1
11,instruction,1,284,2,1
11,instruction,1,281,2,NA
11,instruction,1,284,2,1
11,instruction,1,640,3,0
11,instruction,1,174,1,1
11,instruction,1,210,2,1
11,instruction,1,640,2,1
11,instruction,1,103,1,1
11,instruction,1,68,1,1
11,instruction,1,68,1,1
11,instruction,1,281,2,1
11,instruction,1,174,1,NA
11,instruction,1,281,3,1
11,instruction,1,174,1,1
11,instruction,1,246,3,1
11,instruction,1,139,1,1
11,instruction,1,284,3,0
11,instruction,1,139,1,NA
11,instruction,1,174,1,1
11,instruction,1,103,1,1
11,instruction,1,174,1,NA
11,instruction,1,103,1,1
11,instruction,1,246,2,1
11,instruction,1,210,2,1
11,instruction,1,210,2,1
11,instruction,1,210,3,0
11,instruction,1,68,1,1
11,instruction,1,210,3,NA
11,instruction,1,640,2,1
11,instruction,1,281,2,1
11,instruction,1,103,1,1
11,instruction,1,284,3,1
11,instruction,1,139,1,1
11,instruction,1,246,2,1
11,instruction,1,210,3,1
