.chain,.iteration,.draw,hoop,.value,param,group
1,138,138,near,-1.11822,b,prior
1,139,139,near,-2.36207,b,prior
1,140,140,near,-0.736559,b,prior
1,141,141,near,-1.6239,b,prior
1,142,142,near,-1.88669,b,prior
1,143,143,near,-1.22398,b,prior
1,144,144,near,-2.26549,b,prior
1,145,145,near,-1.59578,b,prior
1,146,146,near,-0.206326,b,prior
1,147,147,near,0.140898,b,prior
1,148,148,near,-2.94994,b,prior
1,149,149,near,-2.57903,b,prior
1,150,150,near,0.366724,b,prior
1,151,151,near,-3.12961,b,prior
1,152,152,near,-1.82719,b,prior
1,153,153,near,-1.72438,b,prior
1,154,154,near,-1.42271,b,prior
1,155,155,near,-1.4587,b,prior
1,156,156,near,-2.42312,b,prior
1,157,157,near,-0.585283,b,prior
1,158,158,near,-1.03612,b,prior
1,159,159,near,-0.554909,b,prior
1,160,160,near,-1.48334,b,prior
1,161,161,near,-0.91974,b,prior
1,162,162,near,-1.82792,b,prior
1,163,163,near,-0.709653,b,prior
1,164,164,near,-0.557301,b,prior
1,165,165,near,-1.70811,b,prior
1,166,166,near,-1.85037,b,prior
1,167,167,near,-1.78307,b,prior
1,168,168,near,-0.583208,b,prior
1,169,169,near,-2.9847,b,prior
1,170,170,near,-1.09347,b,prior
1,171,171,near,-2.6222,b,prior
1,172,172,near,-1.2331,b,prior
1,173,173,near,-1.90936,b,prior
1,174,174,near,-2.09725,b,prior
1,175,175,near,-0.8387,b,prior
1,176,176,near,-2.4751,b,prior
1,177,177,near,0.191661,b,prior
1,178,178,near,-3.31214,b,prior
1,179,179,near,0.0333261,b,prior
1,180,180,near,-0.919321,b,prior
1,181,181,near,-2.35735,b,prior
1,182,182,near,-1.6634,b,prior
1,183,183,near,-1.38921,b,prior
1,184,184,near,-1.59802,b,prior
1,185,185,near,-1.58267,b,prior
1,186,186,near,-1.61547,b,prior
1,187,187,near,-0.740355,b,prior
1,188,188,near,-0.436557,b,prior
1,189,189,near,0.0376519,b,prior
1,190,190,near,-2.65223,b,prior
1,191,191,near,-2.24201,b,prior
1,192,192,near,-0.677819,b,prior
1,193,193,near,-1.35634,b,prior
1,194,194,near,-1.67924,b,prior
1,195,195,near,-1.54217,b,prior
1,196,196,near,-1.92222,b,prior
1,197,197,near,-1.81697,b,prior
1,198,198,near,-2.46344,b,prior
1,199,199,near,-0.844604,b,prior
1,200,200,near,-2.96265,b,prior
1,201,201,near,-3.57831,b,prior
1,202,202,near,-0.778214,b,prior
1,203,203,near,-2.67078,b,prior
1,204,204,near,-0.418655,b,prior
1,205,205,near,-2.75778,b,prior
1,206,206,near,-0.700649,b,prior
1,207,207,near,-0.781151,b,prior
1,208,208,near,-0.794615,b,prior
1,209,209,near,-3.35856,b,prior
1,210,210,near,-0.625844,b,prior
1,211,211,near,-2.63113,b,prior
1,212,212,near,-0.384433,b,prior
1,213,213,near,-2.71282,b,prior
1,214,214,near,-0.80023,b,prior
1,215,215,near,-2.16746,b,prior
1,216,216,near,-2.04185,b,prior
1,217,217,near,-0.0767555,b,prior
1,218,218,near,-2.25179,b,prior
1,219,219,near,-0.735951,b,prior
1,220,220,near,-1.569,b,prior
1,221,221,near,-1.88929,b,prior
1,222,222,near,-0.796281,b,prior
1,223,223,near,-1.34864,b,prior
1,224,224,near,-0.231597,b,prior
1,225,225,near,-2.80201,b,prior
1,226,226,near,-0.136633,b,prior
1,227,227,near,-4.17558,b,prior
1,228,228,near,-2.66836,b,prior
1,229,229,near,-2.58479,b,prior
1,230,230,near,-0.873409,b,prior
1,231,231,near,-3.23769,b,prior
1,232,232,near,-0.723407,b,prior
1,233,233,near,-2.15575,b,prior
1,234,234,near,-0.913326,b,prior
1,235,235,near,-1.62474,b,prior
1,236,236,near,-2.08536,b,prior
1,237,237,near,-0.465096,b,prior
1,238,238,near,-2.49982,b,prior
1,239,239,near,-2.56284,b,prior
1,240,240,near,-1.27794,b,prior
1,241,241,near,-1.91954,b,prior
1,242,242,near,-2.77346,b,prior
1,243,243,near,-1.92023,b,prior
1,244,244,near,-2.16499,b,prior
1,245,245,near,-1.82236,b,prior
1,246,246,near,-1.25043,b,prior
1,247,247,near,-1.20552,b,prior
1,248,248,near,-2.28354,b,prior
1,249,249,near,-1.69117,b,prior
1,250,250,near,-1.7584,b,prior
1,251,251,near,-1.06796,b,prior
1,252,252,near,-1.82466,b,prior
1,253,253,near,-1.75229,b,prior
1,254,254,near,-2.35734,b,prior
1,255,255,near,-1.6014,b,prior
1,256,256,near,-1.40034,b,prior
1,257,257,near,-1.67281,b,prior
1,258,258,near,-0.568528,b,prior
1,259,259,near,-1.34765,b,prior
1,260,260,near,-1.81787,b,prior
1,261,261,near,-2.80846,b,prior
1,262,262,near,-0.490212,b,prior
1,263,263,near,0.781253,b,prior
1,264,264,near,-1.21936,b,prior
1,265,265,near,-1.79588,b,prior
1,266,266,near,-0.807688,b,prior
1,267,267,near,-2.43165,b,prior
1,268,268,near,-1.80755,b,prior
1,269,269,near,0.552935,b,prior
1,270,270,near,-1.49543,b,prior
1,271,271,near,-0.22965,b,prior
1,272,272,near,-0.902391,b,prior
1,273,273,near,-2.20781,b,prior
1,274,274,near,-0.85981,b,prior
1,275,275,near,-0.936597,b,prior
1,276,276,near,-2.07035,b,prior
1,277,277,near,-1.65988,b,prior
1,278,278,near,-0.677268,b,prior
1,279,279,near,-1.95352,b,prior
1,280,280,near,-1.27163,b,prior
1,281,281,near,-2.0015,b,prior
1,282,282,near,-1.13964,b,prior
1,283,283,near,-1.99206,b,prior
1,284,284,near,-2.88223,b,prior
1,285,285,near,-0.451727,b,prior
1,286,286,near,-2.6052,b,prior
1,287,287,near,-0.345618,b,prior
1,288,288,near,-2.60744,b,prior
1,289,289,near,0.0395069,b,prior
1,290,290,near,-3.13931,b,prior
1,291,291,near,-0.945941,b,prior
1,292,292,near,1.0009,b,prior
1,293,293,near,-3.62943,b,prior
1,294,294,near,-3.24512,b,prior
1,295,295,near,0.0630071,b,prior
1,296,296,near,-1.01013,b,prior
1,297,297,near,-2.16266,b,prior
1,298,298,near,-1.91611,b,prior
1,299,299,near,-1.6898,b,prior
1,300,300,near,-1.01691,b,prior
1,301,301,near,-1.46185,b,prior
1,302,302,near,0.225357,b,prior
1,303,303,near,-2.45521,b,prior
1,304,304,near,-0.713958,b,prior
1,305,305,near,-3.13617,b,prior
1,306,306,near,-0.364828,b,prior
1,307,307,near,-2.7165,b,prior
1,308,308,near,-0.24426,b,prior
1,309,309,near,-0.403182,b,prior
1,310,310,near,-2.30462,b,prior
1,311,311,near,-2.17045,b,prior
1,312,312,near,-1.09608,b,prior
1,313,313,near,-0.101979,b,prior
1,314,314,near,-2.49653,b,prior
1,315,315,near,0.123244,b,prior
1,316,316,near,-0.423026,b,prior
1,317,317,near,-2.22541,b,prior
1,318,318,near,-2.74913,b,prior
1,319,319,near,-0.0838552,b,prior
1,320,320,near,-3.28144,b,prior
1,321,321,near,0.187598,b,prior
1,322,322,near,-2.96452,b,prior
1,323,323,near,0.065125,b,prior
1,324,324,near,-0.526189,b,prior
1,325,325,near,-2.87492,b,prior
1,326,326,near,-0.914656,b,prior
1,327,327,near,-0.584026,b,prior
1,328,328,near,-0.731926,b,prior
1,329,329,near,-1.86052,b,prior
1,330,330,near,-1.59116,b,prior
1,331,331,near,-0.71162,b,prior
1,332,332,near,-3.37768,b,prior
1,333,333,near,-3.54478,b,prior
1,334,334,near,0.942356,b,prior
1,335,335,near,-3.84894,b,prior
1,336,336,near,-1.17619,b,prior
1,337,337,near,-1.92713,b,prior
1,338,338,near,-0.871112,b,prior
1,339,339,near,-2.11572,b,prior
1,340,340,near,-0.989236,b,prior
1,341,341,near,-0.953488,b,prior
1,342,342,near,-2.10483,b,prior
1,343,343,near,-0.724933,b,prior
1,344,344,near,-1.50772,b,prior
1,345,345,near,-0.666229,b,prior
1,346,346,near,-2.07813,b,prior
1,347,347,near,-0.882429,b,prior
1,348,348,near,-0.76914,b,prior
1,349,349,near,-2.08967,b,prior
1,350,350,near,-0.0640945,b,prior
1,351,351,near,-0.740084,b,prior
1,352,352,near,-1.7031,b,prior
1,353,353,near,-1.45816,b,prior
1,354,354,near,-1.48176,b,prior
1,355,355,near,-2.02397,b,prior
1,356,356,near,-1.58894,b,prior
1,357,357,near,-1.48908,b,prior
1,358,358,near,-0.360952,b,prior
1,359,359,near,-1.76377,b,prior
1,360,360,near,-0.140821,b,prior
1,361,361,near,-0.542661,b,prior
1,362,362,near,-3.08075,b,prior
1,363,363,near,-0.381348,b,prior
1,364,364,near,-2.50942,b,prior
1,365,365,near,-0.549504,b,prior
1,366,366,near,-2.32814,b,prior
1,367,367,near,-2.63371,b,prior
1,368,368,near,-2.4851,b,prior
1,369,369,near,-1.90728,b,prior
1,370,370,near,-3.20016,b,prior
1,371,371,near,0.0613887,b,prior
1,372,372,near,-1.77935,b,prior
1,373,373,near,-1.0104,b,prior
1,374,374,near,-1.42548,b,prior
1,375,375,near,-1.94962,b,prior
1,376,376,near,-1.51816,b,prior
1,377,377,near,-2.38199,b,prior
1,378,378,near,-0.505946,b,prior
1,379,379,near,-0.584884,b,prior
1,380,380,near,-0.68687,b,prior
1,381,381,near,-2.18324,b,prior
1,382,382,near,-1.62515,b,prior
1,383,383,near,-1.28764,b,prior
1,384,384,near,-0.219633,b,prior
1,385,385,near,-0.869018,b,prior
1,386,386,near,-2.26961,b,prior
1,387,387,near,-0.588014,b,prior
1,388,388,near,-1.02243,b,prior
1,389,389,near,-2.02839,b,prior
1,390,390,near,-2.37559,b,prior
1,391,391,near,-0.463187,b,prior
1,392,392,near,-2.33386,b,prior
1,393,393,near,-0.987984,b,prior
1,394,394,near,-0.778001,b,prior
1,395,395,near,-0.142185,b,prior
1,396,396,near,-3.25089,b,prior
1,397,397,near,0.031969,b,prior
1,398,398,near,-3.16428,b,prior
1,399,399,near,-0.318909,b,prior
1,400,400,near,-2.42331,b,prior
1,401,401,near,-2.53677,b,prior
1,402,402,near,-1.45177,b,prior
1,403,403,near,-1.46574,b,prior
1,404,404,near,-2.59218,b,prior
1,405,405,near,-0.901933,b,prior
1,406,406,near,-2.76904,b,prior
1,407,407,near,-0.366976,b,prior
1,408,408,near,-2.5192,b,prior
1,409,409,near,-0.568355,b,prior
1,410,410,near,-2.2289,b,prior
1,411,411,near,-1.03461,b,prior
1,412,412,near,-0.576205,b,prior
1,413,413,near,-2.53316,b,prior
1,414,414,near,-2.20172,b,prior
1,415,415,near,-1.53367,b,prior
1,416,416,near,-1.5685,b,prior
1,417,417,near,-1.17897,b,prior
1,418,418,near,-1.30105,b,prior
1,419,419,near,-1.74117,b,prior
1,420,420,near,-1.33057,b,prior
1,421,421,near,-1.11475,b,prior
1,422,422,near,-1.80757,b,prior
1,423,423,near,-1.16105,b,prior
1,424,424,near,-1.50857,b,prior
1,425,425,near,-1.82492,b,prior
1,426,426,near,-1.22569,b,prior
1,427,427,near,-1.99078,b,prior
1,428,428,near,-1.89084,b,prior
1,429,429,near,-1.73114,b,prior
1,430,430,near,-2.14502,b,prior
1,431,431,near,-0.833615,b,prior
1,432,432,near,-1.79849,b,prior
1,433,433,near,-0.683776,b,prior
1,434,434,near,-2.65642,b,prior
1,435,435,near,-1.57581,b,prior
1,436,436,near,-1.73193,b,prior
1,437,437,near,-1.3043,b,prior
1,438,438,near,-0.612207,b,prior
1,439,439,near,-2.04908,b,prior
1,440,440,near,-0.361347,b,prior
1,441,441,near,-1.14786,b,prior
1,442,442,near,-1.29713,b,prior
1,443,443,near,-1.41915,b,prior
1,444,444,near,-2.29857,b,prior
1,445,445,near,-0.553403,b,prior
1,446,446,near,0.0685436,b,prior
1,447,447,near,-2.77721,b,prior
1,448,448,near,-0.918485,b,prior
1,449,449,near,-1.28793,b,prior
1,450,450,near,-2.63647,b,prior
1,451,451,near,-1.33028,b,prior
1,452,452,near,-0.40515,b,prior
1,453,453,near,-2.25955,b,prior
1,454,454,near,-0.920894,b,prior
1,455,455,near,-2.1002,b,prior
1,456,456,near,-3.64829,b,prior
1,457,457,near,0.630051,b,prior
1,458,458,near,-2.98351,b,prior
1,459,459,near,0.227957,b,prior
1,460,460,near,-3.04716,b,prior
1,461,461,near,-0.769098,b,prior
1,462,462,near,-2.47031,b,prior
1,463,463,near,-3.74387,b,prior
1,464,464,near,0.881908,b,prior
1,465,465,near,0.643187,b,prior
1,466,466,near,-3.85493,b,prior
1,467,467,near,-0.796366,b,prior
1,468,468,near,-1.91152,b,prior
1,469,469,near,-1.94618,b,prior
1,470,470,near,-2.17212,b,prior
1,471,471,near,-1.43431,b,prior
1,472,472,near,-1.46669,b,prior
1,473,473,near,-1.76654,b,prior
1,474,474,near,-1.34508,b,prior
1,475,475,near,-0.573006,b,prior
1,476,476,near,-2.42513,b,prior
1,477,477,near,-1.56028,b,prior
1,478,478,near,-0.903337,b,prior
1,479,479,near,-2.81175,b,prior
1,480,480,near,-3.11167,b,prior
1,481,481,near,-3.69078,b,prior
1,482,482,near,0.875516,b,prior
1,483,483,near,-1.43523,b,prior
1,484,484,near,-2.94225,b,prior
1,485,485,near,-1.62017,b,prior
1,486,486,near,-1.49526,b,prior
1,487,487,near,-2.06743,b,prior
1,488,488,near,-1.41533,b,prior
1,489,489,near,-2.82487,b,prior
1,490,490,near,-0.271639,b,prior
1,491,491,near,-2.52895,b,prior
1,492,492,near,-0.119922,b,prior
1,493,493,near,-2.72124,b,prior
1,494,494,near,-0.271461,b,prior
1,495,495,near,-0.0937025,b,prior
1,496,496,near,-2.68647,b,prior
1,497,497,near,-3.09521,b,prior
1,498,498,near,-0.800492,b,prior
1,499,499,near,-3.28861,b,prior
1,500,500,near,0.769138,b,prior
1,501,501,near,-1.41056,b,prior
1,502,502,near,-2.58885,b,prior
1,503,503,near,-1.24227,b,prior
1,504,504,near,-1.64766,b,prior
1,505,505,near,-0.807225,b,prior
1,506,506,near,-2.10651,b,prior
1,507,507,near,-1.0818,b,prior
1,508,508,near,-2.38261,b,prior
1,509,509,near,-1.27846,b,prior
1,510,510,near,-2.36662,b,prior
1,511,511,near,-2.99248,b,prior
1,512,512,near,0.158261,b,prior
1,513,513,near,-2.97443,b,prior
1,514,514,near,0.151201,b,prior
1,515,515,near,-3.14003,b,prior
1,516,516,near,-0.427889,b,prior
1,517,517,near,-1.67534,b,prior
1,518,518,near,-2.41063,b,prior
1,519,519,near,-2.38306,b,prior
1,520,520,near,-1.60511,b,prior
1,521,521,near,-1.28893,b,prior
1,522,522,near,-0.543409,b,prior
1,523,523,near,-2.55913,b,prior
1,524,524,near,-0.243101,b,prior
1,525,525,near,-2.04504,b,prior
1,526,526,near,-1.60619,b,prior
1,527,527,near,-2.38802,b,prior
1,528,528,near,-1.10851,b,prior
1,529,529,near,-1.9676,b,prior
1,530,530,near,-1.82885,b,prior
1,531,531,near,0.41424,b,prior
1,532,532,near,-0.884923,b,prior
1,533,533,near,-1.84497,b,prior
1,534,534,near,-1.40709,b,prior
1,535,535,near,-1.20669,b,prior
1,536,536,near,-1.71503,b,prior
1,537,537,near,-0.715034,b,prior
1,538,538,near,-1.29441,b,prior
1,539,539,near,-1.61689,b,prior
1,540,540,near,-2.64591,b,prior
1,541,541,near,-0.726417,b,prior
1,542,542,near,-1.52421,b,prior
1,543,543,near,-1.75518,b,prior
1,544,544,near,-1.49948,b,prior
1,545,545,near,-1.48569,b,prior
1,546,546,near,-1.47653,b,prior
1,547,547,near,-1.66876,b,prior
1,548,548,near,-1.28931,b,prior
1,549,549,near,-1.57412,b,prior
1,550,550,near,-2.00613,b,prior
1,551,551,near,-0.402939,b,prior
1,552,552,near,-1.60665,b,prior
1,553,553,near,-2.02732,b,prior
1,554,554,near,-1.93951,b,prior
1,555,555,near,0.13331200000000001,b,prior
1,556,556,near,-3.39238,b,prior
1,557,557,near,-0.466609,b,prior
1,558,558,near,-1.64444,b,prior
1,559,559,near,-1.83389,b,prior
1,560,560,near,-1.922,b,prior
1,561,561,near,-1.00333,b,prior
1,562,562,near,-2.79576,b,prior
1,563,563,near,-2.64231,b,prior
1,564,564,near,-0.625921,b,prior
1,565,565,near,-1.95067,b,prior
1,566,566,near,-0.563934,b,prior
1,567,567,near,-2.05527,b,prior
1,568,568,near,-1.28725,b,prior
1,569,569,near,0.443441,b,prior
1,570,570,near,-2.80142,b,prior
1,571,571,near,-0.893101,b,prior
1,572,572,near,-0.586804,b,prior
1,573,573,near,-2.14621,b,prior
1,574,574,near,-0.63067,b,prior
1,575,575,near,-2.51598,b,prior
1,576,576,near,-0.561175,b,prior
1,577,577,near,-1.8352,b,prior
1,578,578,near,-1.60865,b,prior
1,579,579,near,-1.48403,b,prior
1,580,580,near,-1.28834,b,prior
1,581,581,near,-1.63091,b,prior
1,582,582,near,-1.20221,b,prior
1,583,583,near,-3.25467,b,prior
1,584,584,near,0.194119,b,prior
1,585,585,near,-2.21117,b,prior
1,586,586,near,-0.769831,b,prior
1,587,587,near,-1.72014,b,prior
1,588,588,near,-1.47133,b,prior
1,589,589,near,-0.496105,b,prior
1,590,590,near,0.153661,b,prior
1,591,591,near,-3.2697,b,prior
1,592,592,near,0.332638,b,prior
1,593,593,near,-2.8738,b,prior
1,594,594,near,-0.0221643,b,prior
1,595,595,near,-2.24444,b,prior
1,596,596,near,-0.689103,b,prior
1,597,597,near,-1.33486,b,prior
1,598,598,near,-1.48748,b,prior
1,599,599,near,-1.38251,b,prior
1,600,600,near,-1.74771,b,prior
1,601,601,near,-0.246741,b,prior
1,602,602,near,-1.22829,b,prior
1,603,603,near,-0.926831,b,prior
1,604,604,near,-0.848978,b,prior
1,605,605,near,-1.77156,b,prior
1,606,606,near,-3.02829,b,prior
1,607,607,near,0.290115,b,prior
1,608,608,near,-2.97263,b,prior
1,609,609,near,-1.31421,b,prior
1,610,610,near,-1.51071,b,prior
1,611,611,near,-1.34288,b,prior
1,612,612,near,-1.74542,b,prior
1,613,613,near,-1.14598,b,prior
1,614,614,near,0.208924,b,prior
1,615,615,near,-3.1232,b,prior
1,616,616,near,-0.321149,b,prior
1,617,617,near,-3.12805,b,prior
1,618,618,near,-0.704134,b,prior
1,619,619,near,-2.38456,b,prior
1,620,620,near,-0.493909,b,prior
1,621,621,near,-2.57837,b,prior
1,622,622,near,-1.83615,b,prior
1,623,623,near,-1.20892,b,prior
1,624,624,near,-0.193539,b,prior
1,625,625,near,-3.24873,b,prior
1,626,626,near,0.477264,b,prior
1,627,627,near,-0.498581,b,prior
1,628,628,near,-1.58402,b,prior
1,629,629,near,-0.928817,b,prior
1,630,630,near,-0.0410212,b,prior
1,631,631,near,-3.01022,b,prior
1,632,632,near,0.0579196,b,prior
1,633,633,near,-3.87383,b,prior
1,634,634,near,0.455495,b,prior
1,635,635,near,-2.57779,b,prior
1,636,636,near,0.237308,b,prior
1,637,637,near,-2.56138,b,prior
1,638,638,near,-0.190004,b,prior
1,639,639,near,-2.26703,b,prior
1,640,640,near,-0.840056,b,prior
1,641,641,near,-1.69713,b,prior
1,642,642,near,-1.22495,b,prior
1,643,643,near,-1.74545,b,prior
1,644,644,near,-3.82661,b,prior
1,645,645,near,1.05051,b,prior
1,646,646,near,-3.31757,b,prior
1,647,647,near,-1.07599,b,prior
1,648,648,near,-1.29629,b,prior
1,649,649,near,-1.842,b,prior
1,650,650,near,-0.817389,b,prior
1,651,651,near,-1.81578,b,prior
1,652,652,near,-1.11738,b,prior
1,653,653,near,-1.80673,b,prior
1,654,654,near,-1.02227,b,prior
1,655,655,near,-2.32951,b,prior
1,656,656,near,-1.75169,b,prior
1,657,657,near,-1.02697,b,prior
1,658,658,near,-2.12578,b,prior
1,659,659,near,-0.0297889,b,prior
1,660,660,near,-2.76308,b,prior
1,661,661,near,0.0673544,b,prior
1,662,662,near,-2.4894,b,prior
1,663,663,near,-0.666618,b,prior
1,664,664,near,-1.24246,b,prior
1,665,665,near,-1.61492,b,prior
1,666,666,near,-2.23503,b,prior
1,667,667,near,-2.99289,b,prior
1,668,668,near,0.0304053,b,prior
1,669,669,near,-2.26224,b,prior
1,670,670,near,-0.785927,b,prior
1,671,671,near,-2.18954,b,prior
1,672,672,near,-0.759504,b,prior
1,673,673,near,-2.23628,b,prior
1,674,674,near,-3.0405,b,prior
1,675,675,near,0.23634,b,prior
1,676,676,near,-2.98,b,prior
1,677,677,near,-1.41719,b,prior
1,678,678,near,-1.64534,b,prior
1,679,679,near,-1.29181,b,prior
1,680,680,near,-2.77303,b,prior
1,681,681,near,-1.79773,b,prior
1,682,682,near,-0.98896,b,prior
1,683,683,near,-1.7952,b,prior
1,684,684,near,-1.84929,b,prior
1,685,685,near,-1.50631,b,prior
1,686,686,near,-0.850142,b,prior
1,687,687,near,-2.06143,b,prior
1,688,688,near,-1.16279,b,prior
1,689,689,near,-1.82118,b,prior
1,690,690,near,-1.24853,b,prior
1,691,691,near,-1.61122,b,prior
1,692,692,near,-0.233605,b,prior
1,693,693,near,-2.60902,b,prior
1,694,694,near,-1.74941,b,prior
1,695,695,near,-0.737659,b,prior
1,696,696,near,-2.64172,b,prior
1,697,697,near,-0.165861,b,prior
1,698,698,near,-2.24893,b,prior
1,699,699,near,-1.50651,b,prior
1,700,700,near,-1.9709,b,prior
1,701,701,near,-0.995251,b,prior
1,702,702,near,-1.94554,b,prior
1,703,703,near,-1.45723,b,prior
1,704,704,near,-0.807365,b,prior
1,705,705,near,-1.21054,b,prior
1,706,706,near,-1.84279,b,prior
1,707,707,near,-1.01444,b,prior
1,708,708,near,-1.72062,b,prior
1,709,709,near,-1.3206,b,prior
1,710,710,near,-0.923377,b,prior
1,711,711,near,-2.10063,b,prior
1,712,712,near,-0.875591,b,prior
1,713,713,near,-0.828722,b,prior
1,714,714,near,-1.58475,b,prior
1,715,715,near,0.113562,b,prior
1,716,716,near,0.405175,b,prior
1,717,717,near,-3.05779,b,prior
1,718,718,near,-1.55498,b,prior
1,719,719,near,-2.17821,b,prior
1,720,720,near,-1.18078,b,prior
1,721,721,near,-1.58549,b,prior
1,722,722,near,-1.79408,b,prior
1,723,723,near,-2.17683,b,prior
1,724,724,near,-1.95765,b,prior
1,725,725,near,-2.15623,b,prior
1,726,726,near,-0.806808,b,prior
1,727,727,near,-2.39211,b,prior
1,728,728,near,-0.476363,b,prior
1,729,729,near,-1.34412,b,prior
1,730,730,near,-1.84903,b,prior
1,731,731,near,-2.04459,b,prior
1,732,732,near,-2.66511,b,prior
1,733,733,near,-0.861306,b,prior
1,734,734,near,-0.212634,b,prior
1,735,735,near,-1.69067,b,prior
1,736,736,near,-1.32704,b,prior
